restriction_type,times_of_operation,maximum_stay,tariff,cashless_identifier,nearest_machine,road_name,postcode,controlled_parking_zone,valid_parking_permits,parking_bay_length_metres,disclaimer,easting,northing,longitude,latitude,unique_identifier,spatial_accuracy,last_uploaded,location,organisation_uri,:@computed_region_hxwp_gyfc,:@computed_region_6i9a_26nj,parking_spaces,epsg_27700_well_known_text_geometry,epsg_4326_well_known_text_geometry
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Belsize Park Gardens,NW3 4NA,CA-B,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",527188,184774,-0.167099,51.547536,46047042,Defined By Custodian,2019-11-29T23:02:08.000,"{'latitude': '51.547536', 'longitude': '-0.167099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},1,1,1,"LINESTRING (527190.5881824325 184771.9388379143,527191.437423726 184773.74831995543,527186.1193593157 184776.0676560524,527185.3360785111 184774.2081883195)","LINESTRING (-0.16706276504862377 51.547516289736166,-0.1670498703480832 51.54753236033882,-0.16712568682924892 51.54755440140559,-0.1671376488159923 51.54753786672493)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Parkhill Road,NW3 2YT,CA-B,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",527746,185172,-0.158911,51.550987,46046024,Defined By Custodian,2019-11-29T23:02:05.000,"{'latitude': '51.550987', 'longitude': '-0.158911', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},7,51,1,"LINESTRING (527747.2369925511 185175.753247242,527745.7281463696 185175.09343611097,527747.9378227447 185169.53502718898,527749.4219337428 185170.2148325967)","LINESTRING (-0.15889273215421046 51.551019754316386,-0.15891472160634876 51.55101416588317,-0.1588848860130643 51.550963713571704,-0.15886324588474499 51.55096948727853)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Belsize Road,NW6 4AJ,CA-K,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525979,183949,-0.184821,51.540392,46043546,Defined By Custodian,2019-11-29T23:01:59.000,"{'latitude': '51.540392', 'longitude': '-0.184821', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},13,94,1,"LINESTRING (525983.1814347875 183948.92442333986,525982.571300266 183950.60394258247,525976.4699550511 183948.39457500738,525977.2037654892 183946.665070073)","LINESTRING (-0.1847609534747755 51.540390361328626,-0.18476914574187878 51.54040559133319,-0.18485786818443126 51.540387095925105,-0.18484791137102524 51.54037138912734)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Montpelier Grove,NW5 2XG,CA-M,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529364,185496,-0.135469,51.55353,46045230,Defined By Custodian,2019-11-29T23:02:03.000,"{'latitude': '51.55353', 'longitude': '-0.135469', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},12,83,1,"LINESTRING (529366.9215304345 185498.8307672639,529365.0416565035 185499.11068713767,529364.4562571652 185493.4523068322,529366.1052693855 185493.1923812351)","LINESTRING (-0.13542645733486475 51.553554601795476,-0.1354534540187456 51.553557547895544,-0.13546397279570274 51.55350683115607,-0.13544029680622494 51.55350411761303)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Holly Bush Vale,NW3 6TX,CA-H,N/A,1,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526346,185746,-0.178887,51.55646,46035713,Defined By Custodian,2019-11-29T23:01:55.000,"{'latitude': '51.55646', 'longitude': '-0.178887', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},6,38,1,"LINESTRING (526347.3822737453 185746.76979545533,526346.063063969 185746.08999004762,526346.1125343357 185746.03000721752,526347.7120761892 185743.44074838515,526348.9405902934 185744.00058813268)","LINESTRING (-0.17886694263674338 51.55646630905706,-0.1788862055891307 51.55646049486719,-0.17888551390399351 51.55645994473408,-0.17886338263541357 51.55643631724221,-0.1788454702993978 51.556441073596865)"
disabled (blue badge),"mon-fri 09:00-18:30, sat 09:30-13:30",N/A,N/A,N/A,N/A,Eton Avenue,NW3 3NJ,CA-B,N/A,7,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526745,184376,-0.173628,51.544059,46046958,Defined By Custodian,2019-11-29T23:02:07.000,"{'latitude': '51.544059', 'longitude': '-0.173628', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},17,122,1,"LINESTRING (526750.1782437173 184376.2221106492,526749.6588048679 184378.09157552043,526741.9744079217 184375.93219363707,526742.4361313434 184374.2026887027)","LINESTRING (-0.17355331025466103 51.54405896341286,-0.17356012391078274 51.54407588087062,-0.17367165613816787 51.544058198390175,-0.17366562391168525 51.54404255170922)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Ulysses Road,NW6 1ED,CA-P,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",524999,185428,-0.198419,51.553902,46043876,Defined By Custodian,2019-11-29T23:02:00.000,"{'latitude': '51.553902', 'longitude': '-0.198419', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},5,32,1,"LINESTRING (525002.876650111 185429.46062426077,525001.5986656403 185430.70026941603,524997.5008702731 185426.59144555463,524998.8695504159 185425.31181184598)","LINESTRING (-0.1983634150291873 51.553913922489365,-0.19838139896254123 51.553925346389214,-0.19844193186362097 51.55388932682403,-0.19842265462345107 51.55387752346784)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Haverstock Hill,NW3 4QR,CA-B,N/A,19,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",527281,185155,-0.165621,51.550939,46047130,Defined By Custodian,2019-11-29T23:02:08.000,"{'latitude': '51.550939', 'longitude': '-0.165621', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},1,8,2,"LINESTRING (527286.0412547999 185147.4013628845,527287.5583460425 185148.73098228488,527287.4016898816 185148.90093363682,527283.7079025083 185152.7998175929,527279.4122256746 185157.3385184033,527275.8750944623 185161.0774481458,527273.7066433927 185163.13685864568,527272.3956786776 185161.82723352197)","LINESTRING (-0.16555114484455274 51.550869062079464,-0.1655287952606757 51.5508806693775,-0.16553099202192148 51.55088223200597,-0.16558282856828166 51.55091810304059,-0.16564311016978148 51.550959859612256,-0.16569274650957902 51.550994257813805,-0.16572326042144034 51.5510132540151,-0.165742631468438 51.55100177992807)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Greencroft Gardens,NW6 3LU,CA-R,CA-R;CA-K,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526180,184422,-0.181754,51.544599,46046954,Defined By Custodian,2019-11-29T23:02:07.000,"{'latitude': '51.544599', 'longitude': '-0.181754', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},17,121,1,"LINESTRING (526177.0722916409 184421.06927328242,526178.5234223946 184419.68966819026,526178.8779600221 184420.0395680325,526183.0417158781 184424.18838044727,526183.2395973445 184424.44830604436,526181.730751163 184425.81791399815)","LINESTRING (-0.1817974174670254 51.54459029312798,-0.18177699651370194 51.54457757043617,-0.18177176109112086 51.544580635824865,-0.18171026109650415 51.544616991502636,-0.18170731582950653 51.544619283273285,-0.181728572228512 51.54463192902281)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Gladys Road,NW6 2PX,CA-Q,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525324,184478,-0.194072,51.545292,46044326,Defined By Custodian,2019-11-29T23:02:01.000,"{'latitude': '51.545292', 'longitude': '-0.194072', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},18,127,1,"LINESTRING (525326.396357596 184481.35201752637,525324.4010528096 184481.67192595353,525323.708467677 184475.74362291262,525325.7532428302 184475.4936944539)","LINESTRING (-0.19403695174537752 51.54532142424187,-0.1940655971390927 51.54532474197454,-0.1940776902487567 51.54527161721539,-0.1940483069338599 51.5452689174295)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Guilford Street,WC1N 1DZ,CA-D,N/A,11,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530597,182208,-0.118914,51.523698,46043287,Defined By Custodian,2019-11-29T23:01:59.000,"{'latitude': '51.523698', 'longitude': '-0.118914', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},14,96,1,"LINESTRING (530602.3779759455 182215.01075096568,530604.1259288989 182211.55174109698,530597.1341170851 182208.72255094422,530596.6723936636 182208.52260817724,530595.0728518099 182212.0915865678)","LINESTRING (-0.11883445848488013 51.523759297681266,-0.1188105589636412 51.52372780843837,-0.11891233160322152 51.52370399815214,-0.11891905729122419 51.52370230795945,-0.11894077811304596 51.523734751165485)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Lady Somerset Road,NW5 1TY,CA-M,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",528756,185570,-0.144207,51.554334,46045208,Defined By Custodian,2019-11-29T23:02:03.000,"{'latitude': '51.554334', 'longitude': '-0.144207', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},12,87,1,"LINESTRING (528759.7469858883 185575.1089328661,528760.8435790148 185573.529385007,528756.1026688816 185570.28031504358,528755.4925343601 185569.82044667954,528754.338225806 185571.37000312362)","LINESTRING (-0.1441513929810637 51.55437882455773,-0.14413616241493712 51.55436437948013,-0.1442056958594107 51.55433626128039,-0.1442146597706095 51.55433226759244,-0.14423073334685724 51.55434645628723)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Ospringe Road,NW5 2JA,CA-M,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529113,185550,-0.139068,51.554073,46045191,Defined By Custodian,2019-11-29T23:02:03.000,"{'latitude': '51.554073', 'longitude': '-0.139068', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},12,82,1,"LINESTRING (529110.4589048848 185552.71534296454,529110.1043672574 185550.87586950834,529116.024321128 185549.72619859822,529116.3293883888 185551.63565202287)","LINESTRING (-0.1391037675360791 51.55409752767431,-0.13910955331236668 51.55408107769498,-0.139024634029169 51.55406939272219,-0.13901953570647946 51.55408648290222)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Priory Road,NW6 3NG,CA-R,CA-R;CA-K,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525644,184052,-0.189612,51.541393,46046945,Defined By Custodian,2019-11-29T23:02:07.000,"{'latitude': '51.541393', 'longitude': '-0.189612', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},17,124,1,"LINESTRING (525643.7240241941 184056.03376361012,525645.4637320864 184055.5339066927,525644.9278031148 184053.72442465153,525644.1362772491 184050.74527742356,525643.9796210881 184050.10546056923,525642.2646483792 184050.54533465658)","LINESTRING (-0.1896149533071007 51.541428553705344,-0.18959005863668588 51.5414236745495,-0.18959842829627674 51.54140753173799,-0.18961089907058803 51.54138093386885,-0.18961338515503626 51.54137521860885,-0.18963794471841353 51.54137955318703)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Phoenix Road,NW1 1EN,CA-G,N/A,15,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529758,183029,-0.130698,51.531269,46049555,Defined By Custodian,2019-11-29T23:02:13.000,"{'latitude': '51.531269', 'longitude': '-0.130698', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},16,112,2,"MULTILINESTRING ((529763.7315860471 183033.70640177338,529758.182659926 183029.97746916924,529759.3534586024 183028.40791844847),(529764.8529143569 183032.09686249922,529763.7315860471 183033.70640177338),(529770.3193898669 183035.66584088976,529769.2392868627 183037.39534582413,529763.7315860471 183033.70640177338))","MULTILINESTRING ((-0.1306146587524518 51.53130990790514,-0.13069598398492271 51.53127767032581,-0.1306796925331556 51.53126329624164),(-0.13059909483876952 51.53129518579509,-0.1306146587524518 51.53130990790514),(-0.130519016415055 51.53132600475039,-0.13053394213103142 51.531341795520646,-0.1306146587524518 51.53130990790514))"
disabled (dedicated),at any time,N/A,N/A,N/A,N/A,Howitt Road,NW3 4QS,CA-B,N/A,925,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.164943,51.550125,46127411,Defined By Custodian,2019-11-29T23:02:13.000,"{'latitude': '51.550125', 'longitude': '-0.164943', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},1,8,1,,
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Maygrove Road,NW6 2RA,CA-Q,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525223,184750,-0.195431,51.547759,46044285,Defined By Custodian,2019-11-29T23:02:01.000,"{'latitude': '51.547759', 'longitude': '-0.195431', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},18,132,1,"LINESTRING (525226.0457189345 184748.7654712215,525226.2848257064 184750.63493609274,525220.62046873 184751.31474150048,525220.373116897 184749.5052594593)","LINESTRING (-0.1953882192847154 51.54774695935741,-0.195384107608524 51.547763707471454,-0.19546551326710118 51.54777107275686,-0.19546972242065758 51.547754865541044)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Oseney Crescent,NW5 2AT,CA-M,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529464,184837,-0.13427,51.547585,46048403,Defined By Custodian,2019-11-29T23:02:11.000,"{'latitude': '51.547585', 'longitude': '-0.13427', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},4,29,1,"LINESTRING (529467.5030308068 184836.41038312644,529466.9918370185 184838.00992526227,529461.2285393089 184836.47036595654,529461.6160571806 184834.80084385225)","LINESTRING (-0.13422017629755487 51.54757849550301,-0.13422695617872804 51.54759298751876,-0.13431059299597134 51.54758047263282,-0.1343056214574356 51.54756538006667)"
disabled (blue badge),at any time,3 hours,N/A,N/A,N/A,Millman Street,WC1N 1DX,CA-D,N/A,2333,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.117944,51.523734,46129552,Defined By Custodian,2019-11-29T23:02:14.000,"{'latitude': '51.523734', 'longitude': '-0.117944', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},11,79,3,,
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Greencroft Gardens,NW6 3JQ,CA-R,CA-R;CA-K,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526042,184302,-0.183786,51.543551,46046720,Defined By Custodian,2019-11-29T23:02:07.000,"{'latitude': '51.543551', 'longitude': '-0.183786', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},17,121,1,"LINESTRING (526039.3715261915 184302.3832468041,526040.2949730348 184300.94365888185,526045.2914800621 184304.2227202603,526044.3680332187 184305.66230818254)","LINESTRING (-0.1838246166938615 51.54355439026776,-0.1838118225410792 51.54354124657583,-0.1837386345517854 51.54356960105849,-0.18375142869125694 51.54358274475822)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,King Henry's Road,NW3 3SL,CA-J,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",527242,184158,-0.166543,51.541988,46046643,Defined By Custodian,2019-11-29T23:02:06.000,"{'latitude': '51.541988', 'longitude': '-0.166543', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},17,126,1,"LINESTRING (527245.75588626 184157.95458907733,527245.4425739382 184159.5441340748,527239.0361614625 184158.40446030302,527239.31649354 184156.73493819876)","LINESTRING (-0.16648947350779444 51.54198599800733,-0.16649341454356803 51.54200035380926,-0.16658615701268817 51.54199155418378,-0.16658272017044057 51.54197648705679)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Lamble Street,NW5 4AB,CA-L,N/A,4,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",528207,185490,-0.15215,51.55374,46046384,Defined By Custodian,2019-11-29T23:02:06.000,"{'latitude': '51.55374', 'longitude': '-0.15215', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},7,48,1,"LINESTRING (528210.5599560663 185490.21323400713,528209.7519400783 185491.54285340753,528204.8213935399 185488.53371476452,528205.728350261 185487.21409250246)","LINESTRING (-0.1520994105304826 51.55374079412544,-0.15211057443224968 51.553752926590796,-0.15218274845804486 51.5537270029676,-0.15217015458885558 51.553714937896785)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Whitfield Street,W1T 5HA,CA-E,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529300,182065,-0.137651,51.522711,46035924,Defined By Custodian,2019-11-29T23:01:55.000,"{'latitude': '51.522711', 'longitude': '-0.137651', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},2,13,1,"LINESTRING (529300.2024960044 182068.8825797196,529298.7266300672 182068.07281151332,529302.5523384182 182062.7143453583,529303.8138327666 182063.6540763631)","LINESTRING (-0.13764745817606416 51.52274536607576,-0.1376690164360394 51.52273842629274,-0.13761586927715827 51.522689395427165,-0.13759735157430253 51.52269755218843)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,King Henry's Road,NW3 3QU,CA-J,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",527655,184221,-0.160568,51.542461,46047835,Defined By Custodian,2019-11-29T23:02:10.000,"{'latitude': '51.542461', 'longitude': '-0.160568', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},3,16,1,"LINESTRING (527659.1385146858 184220.27674954446,527658.8746727306 184222.11622300066,527652.7568373936 184221.42642045458,527652.9876991044 184219.53696130664)","LINESTRING (-0.16050913735981098 51.54245284441631,-0.16051227307835864 51.54246943531495,-0.1606006953126466 51.542464618223406,-0.16059805300377103 51.54244758555787)"
disabled (dedicated),at any time,N/A,N/A,N/A,N/A,Savernake Road,NW3 2JR,CA-B,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",528066,185695,-0.154108,51.555614,46046049,Defined By Custodian,2019-11-29T23:02:05.000,"{'latitude': '51.555614', 'longitude': '-0.154108', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},7,45,1,"LINESTRING (528062.4456784461 185698.7335456888,528061.942729719 185697.23397493645,528069.0334822659 185695.12457874484,528069.528185932 185696.75411229572)","LINESTRING (-0.15415873343081662 51.55564833041611,-0.15416652982208717 51.555634968033395,-0.15406507383846904 51.55561440366234,-0.154057348993107 51.55562893586281)"
disabled (dedicated),at any time,N/A,N/A,N/A,N/A,Grafton Mews,W1T 5JA,CA-E,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529185,182165,-0.139271,51.523636,46035832,Defined By Custodian,2019-11-29T23:01:55.000,"{'latitude': '51.523636', 'longitude': '-0.139271', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},2,13,1,"LINESTRING (529184.9447868721 182162.6057517407,529186.5031034201 182163.70543695905,529183.5183913016 182168.07418641754,529181.918849448 182166.90452123072)","LINESTRING (-0.13927350228167204 51.52361399326254,-0.13925064977661375 51.523623519953816,-0.13929204694318165 51.523663463435014,-0.13931551900990016 51.5236533172525)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Huntley Street,WC1E 6AG,CA-E,N/A,12,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529475,182139,-0.135103,51.523336,46036002,Defined By Custodian,2019-11-29T23:01:55.000,"{'latitude': '51.523336', 'longitude': '-0.135103', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},2,13,2,"LINESTRING (529469.9435688927 182143.80113450636,529471.4689051964 182144.86083117136,529479.1120768371 182134.13390172296,529477.471309678 182133.0542107813)","LINESTRING (-0.1351746646196469 51.523379806504806,-0.1351523012033852 51.52338898057666,-0.13504613344350785 51.52329082860034,-0.13507016708209968 51.52328150129699)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Ossulston Street,NW1 1JJ,CA-G,N/A,19,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529934,182822,-0.128239,51.529369,46049558,Defined By Custodian,2019-11-29T23:02:13.000,"{'latitude': '51.529369', 'longitude': '-0.128239', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},16,115,2,"MULTILINESTRING ((529938.1888338852 182817.41831359462,529934.8330940171 182822.41688276906,529936.5810469706 182823.62653650928),(529939.961522022 182818.63796447316,529938.1888338852 182817.41831359462),(529941.4868583257 182812.4897243886,529938.1888338852 182817.41831359462),(529941.4868583257 182812.4897243886,529941.3137120426 182812.69966429393,529938.4526758405 182817.01842806066),(529943.3172618902 182813.63939529873,529941.4868583257 182812.4897243886))","MULTILINESTRING ((-0.12818074776671456 51.52932608422061,-0.12822725373845487 51.52937177694761,-0.12820162333406068 51.52938224614517),(-0.1281547573093684 51.52933663756516,-0.12818074776671456 51.52932608422061),(-0.12813504763879846 51.52928103364113,-0.12818074776671456 51.52932608422061),(-0.12813504763879846 51.52928103364113,-0.12813746489274347 51.52928296013969,-0.12817709381759598 51.52932242986296),(-0.12810825144601476 51.52929094480928,-0.12813504763879846 51.52928103364113))"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Stedham Place,WC1A 1HU,CA-C,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530095,181474,-0.126417,51.517217,46042369,Defined By Custodian,2019-11-29T23:01:57.000,"{'latitude': '51.517217', 'longitude': '-0.126417', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},11,77,1,"LINESTRING (530095.5458249998 181477.81177197836,530093.7071763743 181476.80206100512,530096.5022520875 181471.95344890587,530098.3491457741 181473.05313412426)","LINESTRING (-0.12640798327109015 51.517251055773706,-0.1264348398858072 51.517242404643596,-0.12639636824730074 51.51719818785366,-0.12636935969213223 51.51720764566352)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Belsize Park Gardens,NW3 4NJ,CA-B,N/A,4,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",527413,184653,-0.163899,51.546398,46047059,Defined By Custodian,2019-11-29T23:02:08.000,"{'latitude': '51.546398', 'longitude': '-0.163899', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},1,2,1,"LINESTRING (527413.3779784454 184657.17168966873,527411.8196618973 184655.8720616834,527414.9527851157 184651.95318345062,527416.3791806861 184653.19282860588)","LINESTRING (-0.16389302186914517 51.54643468027811,-0.16391595315750038 51.546423351974774,-0.1638722118851748 51.5463874265444,-0.16385120376755632 51.54639824552592)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Frognal Lane,NW3 7DX,CA-H,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525744,185375,-0.187698,51.55326,46035468,Defined By Custodian,2019-11-29T23:01:54.000,"{'latitude': '51.55326', 'longitude': '-0.187698', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},6,37,1,"LINESTRING (525748.2301736504 185375.04620022763,525747.455137907 185376.72571947024,525741.3537926922 185374.17644919126,525742.16180868 185372.39695856516)","LINESTRING (-0.1876376645056027 51.55325937808565,-0.18764823774666084 51.5532746446286,-0.18773710483479125 51.55325309301129,-0.18772609181737107 51.553236920681705)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Murray Street,NW1 9RF,CA-N,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529475,184503,-0.134234,51.544581,46048529,Defined By Custodian,2019-11-29T23:02:11.000,"{'latitude': '51.544581', 'longitude': '-0.134234', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},4,24,1,"LINESTRING (529474.3959018873 184506.69476324087,529473.06844705 184505.1452067968,529477.9412781608 184501.0163886587,529479.3182033646 184502.50596227267)","LINESTRING (-0.13424209252230154 51.54461380896068,-0.13426179471126895 51.544600187535316,-0.1341930821335742 51.544561965687514,-0.1341726889963775 51.544575036706334)"
